Strike_ID,Org_ID
GR1,WMP1
SR1,KLU1
HA1,KLU1
BV1,KLU1
TM1,KLU1
BH1,AAS1
PS1,AFL1
LM1,UMW1
LD1,UMW1
GS1,AFL1
BM1,UMW1
LS1,CIO1
