UID,Name,Year Founded,,,Current Status
KLU1,Knights of Labor ,1870s,,,collapsed after 1886
NLU1,National Labor Union ,1866,,,dissolved in 1873
UMW1,United Mine Workers of America ,1890,,,still active
AFL1,American Federation of Labor ,1886,,,merged with CIO in 1955
AAS1,Amalgamated Association of Iron and Steel Workers ,1876,,,merged with CIO in 1935
WMP1,Workingmen's Party,1876,,Reformed as Socialist Labor Party in 1877,
CIO1,Congress of Industrial Organizations,1935,,,merged with AFL in 1955
