Source,Target,Year,Relationship
Yijing,Datang Xiyuji,691,Authored
Duhuan,Jingxingji,751,Authored
Zhouqufei,Lingwai Daida,1178,Authored
Zhaorukuo,Zhufanzhi,1225,Authored
Dtang Xiyuji,Funan,691,Mentioned
Dtang Xiyuji,Langkasuka,691,Mentioned
Jingxingji,Dashi,751,Mentioned
Lingwai Daida,Jingjiangfu,1178,Mentioned
Lingwai Daida,Annan,1178,Mentioned
Zhufanzhi,Jiaozhi,1125,Mentioned
Zhufanzhi,Zhancheng,1125,Mentioned
Zhufanzhi,Bingtonglong,1125,Mentioned
